timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses
1742718756767,0,READ,465,511.49,0.30,106.56,87.68,238.46,356.61,511.49,17140696,-1717986919,7,3833,2172472,322122547,0,498
1742718756767,1,READ,495,3708.93,0.16,111.20,76.16,227.58,382.98,453.89,18091856,-1717986919,7,4044,2345088,322122547,0,530
1742718756767,2,READ,523,538.62,0.02,99.87,82.11,218.75,424.96,494.08,19206704,-1717986919,7,4296,2442352,322122547,0,561
1742718756767,3,READ,548,3491.84,0.12,113.60,84.73,232.32,404.22,638.98,20365792,-1717986919,7,4566,2605976,322122547,0,589
1742718756767,4,READ,583,4628.48,0.16,113.89,87.81,222.34,374.01,474.11,21551424,-1717986919,7,4829,2738600,322122547,0,619
1742718756767,5,READ,613,901.63,0.32,107.53,85.25,224.00,380.93,825.86,22706088,-1717986919,7,5081,2871352,322122547,0,651
1742718756767,6,READ,640,4300.80,0.04,115.26,93.44,229.63,417.28,568.83,23891720,-1717986919,7,5350,2999824,322122547,0,679
1742718756767,7,READ,670,900.61,0.10,113.45,93.82,241.92,373.76,874.50,25015416,-1717986919,8,5613,3123488,322122547,0,710
1742718756767,0,QUEUE,718,95354.88,8.54,46525.93,50135.04,87293.95,96010.24,97058.820,0,0,0,0,0,0,0,0
1742718756767,1,QUEUE,732,97386.49,11.35,47949.74,51216.38,88932.35,97648.64,98959.360,0,0,0,0,0,0,0,0
1742718756767,2,QUEUE,745,98959.36,30.80,48336.67,51970.05,90963.97,99876.86,100204.540,0,0,0,0,0,0,0,0
1742718756767,3,QUEUE,760,100663.29,238.21,49864.35,52920.32,92733.44,101580.80,102498.300,0,0,0,0,0,0,0,0
1742718756767,4,QUEUE,771,102957.05,403.20,50878.85,54755.33,95092.74,103677.95,104464.380,0,0,0,0,0,0,0,0
1742718756767,5,QUEUE,786,104857.60,574.98,52012.12,55672.83,96272.38,105709.57,106233.850,0,0,0,0,0,0,0,0
1742718756767,6,QUEUE,798,106692.61,820.74,53355.33,56655.87,98500.61,107216.90,108199.930,0,0,0,0,0,0,0,0
1742718756767,7,QUEUE,813,108986.37,1185.79,54520.47,58458.11,100204.54,109969.41,110493.700,0,0,0,0,0,0,0,0
1742718756915,0,READ,1168,584.70,0.27,112.15,90.81,239.36,410.11,583.17,60068056,-1717986919,22,13515,7565328,322122547,2,1717
1742718756915,1,READ,1176,561.15,0.00,107.22,85.44,239.74,413.69,529.92,61474888,-1717986919,22,13847,7755640,322122547,3,1755
