Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2025-03-23 08:41:21.261,2261.41,93.58,0.29,42.38,73.94,24.18,0.66,334.92
2025-03-23 08:41:21.261,36268.00,436.83,0.17,12.33,56.00,0.34,0.00,6.14
2025-03-23 08:41:21.261,66466.00,520.67,0.17,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,66060.00,517.55,0.17,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,64825.00,507.98,0.17,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,66096.00,517.74,0.17,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,67315.00,527.77,0.17,8.03,8.00,0.17,0.00,22.00
2025-03-23 08:41:21.261,65577.00,514.00,0.17,8.03,18.00,0.07,0.00,4.00
2025-03-23 08:41:21.261,70047.00,548.80,0.18,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,78599.00,616.27,0.19,8.03,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,89673.00,702.51,0.18,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,95261.00,746.38,0.18,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,93461.00,732.54,0.18,8.03,16.00,0.06,0.00,4.00
2025-03-23 08:41:21.261,94542.00,740.97,0.18,8.03,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,91959.00,721.09,0.18,8.03,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,94012.00,736.48,0.17,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,93908.00,735.00,0.17,8.01,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,92039.00,721.25,0.18,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,90913.00,712.27,0.18,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,93223.00,730.72,0.18,8.03,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,93995.00,736.24,0.17,8.02,0.00,0.00,0.00,0.00
2025-03-23 08:41:21.261,92731.00,726.34,0.18,8.02,0.00,0.00,0.00,0.00
