Timestamp,core,usr,sys,iowait,soft,idle
2025-03-23 02:06:30.673,11,12.63,17.89,55.79,1.05,12.63
2025-03-23 02:06:30.673,12,11.70,21.28,54.26,0.00,12.77
2025-03-23 02:06:30.673,13,16.00,20.00,53.00,1.00,10.00
2025-03-23 02:06:30.673,14,17.20,15.05,53.76,1.08,12.90
2025-03-23 02:06:30.673,15,31.96,15.46,42.27,1.03,9.28
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,31.83,13.36,31.50,0.72,22.59
2025-03-23 02:06:30.673,0,46.32,9.47,11.58,1.05,31.58
2025-03-23 02:06:30.673,1,48.04,10.78,9.80,0.98,30.39
2025-03-23 02:06:30.673,2,43.75,12.50,10.42,1.04,32.29
2025-03-23 02:06:30.673,3,43.01,12.90,10.75,0.00,33.33
2025-03-23 02:06:30.673,4,46.81,9.57,9.57,0.00,34.04
2025-03-23 02:06:30.673,5,45.54,11.88,8.91,0.99,32.67
2025-03-23 02:06:30.673,6,46.46,10.10,8.08,1.01,34.34
2025-03-23 02:06:30.673,7,44.79,11.46,7.29,0.00,36.46
2025-03-23 02:06:30.673,8,11.34,21.65,54.64,1.03,11.34
2025-03-23 02:06:30.673,9,18.37,13.27,55.10,2.04,11.22
2025-03-23 02:06:30.673,10,15.62,14.58,54.17,1.04,14.58
2025-03-23 02:06:30.673,11,13.98,17.20,55.91,0.00,12.90
2025-03-23 02:06:30.673,12,14.58,17.71,55.21,1.04,11.46
2025-03-23 02:06:30.673,13,14.44,15.56,58.89,0.00,11.11
2025-03-23 02:06:30.673,14,11.63,15.12,59.30,0.00,13.95
2025-03-23 02:06:30.673,15,40.00,10.53,41.05,1.05,7.37
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,30.95,14.49,30.30,1.11,23.15
2025-03-23 02:06:30.673,0,43.62,11.70,11.70,2.13,30.85
2025-03-23 02:06:30.673,1,45.92,12.24,10.20,1.02,30.61
2025-03-23 02:06:30.673,2,45.92,11.22,11.22,2.04,29.59
2025-03-23 02:06:30.673,3,40.62,15.62,9.38,1.04,33.33
2025-03-23 02:06:30.673,4,46.00,10.00,9.00,2.00,33.00
2025-03-23 02:06:30.673,5,43.56,12.87,7.92,0.00,35.64
2025-03-23 02:06:30.673,6,41.76,12.09,9.89,1.10,35.16
2025-03-23 02:06:30.673,7,44.33,10.31,7.22,1.03,37.11
2025-03-23 02:06:30.673,8,10.00,18.89,54.44,2.22,14.44
2025-03-23 02:06:30.673,9,14.43,17.53,52.58,1.03,14.43
2025-03-23 02:06:30.673,10,14.29,15.38,54.95,1.10,14.29
2025-03-23 02:06:30.673,11,20.20,16.16,50.51,1.01,12.12
2025-03-23 02:06:30.673,12,8.79,19.78,56.04,1.10,14.29
2025-03-23 02:06:30.673,13,18.28,15.05,53.76,1.08,11.83
2025-03-23 02:06:30.673,14,19.35,17.20,51.61,0.00,11.83
2025-03-23 02:06:30.673,15,33.33,16.67,40.62,0.00,9.38
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,30.83,14.54,31.42,1.36,21.85
2025-03-23 02:06:30.673,0,47.47,11.11,11.11,1.01,29.29
2025-03-23 02:06:30.673,1,50.49,10.68,9.71,0.97,28.16
2025-03-23 02:06:30.673,2,41.24,16.49,10.31,2.06,29.90
2025-03-23 02:06:30.673,3,42.39,10.87,9.78,3.26,33.70
2025-03-23 02:06:30.673,4,46.67,13.33,9.52,0.00,30.48
2025-03-23 02:06:30.673,5,48.57,8.57,7.62,2.86,32.38
2025-03-23 02:06:30.673,6,44.90,11.22,8.16,1.02,34.69
2025-03-23 02:06:30.673,7,40.62,11.46,8.33,2.08,37.50
2025-03-23 02:06:30.673,8,11.96,17.39,57.61,2.17,10.87
2025-03-23 02:06:30.673,9,11.70,15.96,58.51,2.13,11.70
2025-03-23 02:06:30.673,10,11.11,15.56,58.89,1.11,13.33
2025-03-23 02:06:30.673,11,12.63,18.95,55.79,1.05,11.58
2025-03-23 02:06:30.673,12,12.87,21.78,52.48,0.99,11.88
2025-03-23 02:06:30.673,13,15.46,19.59,55.67,0.00,9.28
2025-03-23 02:06:30.673,14,14.61,15.73,57.30,0.00,12.36
2025-03-23 02:06:30.673,15,32.98,14.89,42.55,1.06,8.51
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,32.24,14.13,31.00,1.05,21.58
2025-03-23 02:06:30.673,0,47.37,10.53,10.53,2.11,29.47
2025-03-23 02:06:30.673,1,47.42,7.22,10.31,4.12,30.93
2025-03-23 02:06:30.673,2,45.83,13.54,11.46,0.00,29.17
2025-03-23 02:06:30.673,3,47.96,9.18,9.18,2.04,31.63
2025-03-23 02:06:30.673,4,46.00,11.00,10.00,2.00,31.00
2025-03-23 02:06:30.673,5,45.54,13.86,7.92,0.00,32.67
2025-03-23 02:06:30.673,6,44.66,14.56,8.74,0.00,32.04
2025-03-23 02:06:30.673,7,45.36,11.34,7.22,0.00,36.08
2025-03-23 02:06:30.673,8,12.22,16.67,56.67,1.11,13.33
2025-03-23 02:06:30.673,9,12.90,18.28,56.99,1.08,10.75
2025-03-23 02:06:30.673,10,11.49,14.94,59.77,1.15,12.64
2025-03-23 02:06:30.673,11,13.68,18.95,54.74,1.05,11.58
2025-03-23 02:06:30.673,12,16.84,18.95,52.63,0.00,11.58
2025-03-23 02:06:30.673,13,17.89,16.84,54.74,1.05,9.47
2025-03-23 02:06:30.673,14,16.13,18.28,53.76,1.08,10.75
2025-03-23 02:06:30.673,15,37.23,12.77,42.55,0.00,7.45
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,35.76,13.08,30.61,1.55,19.01
2025-03-23 02:06:30.673,0,48.04,11.76,12.75,1.96,25.49
2025-03-23 02:06:30.673,1,47.52,11.88,11.88,1.98,26.73
2025-03-23 02:06:30.673,2,45.00,13.00,12.00,2.00,28.00
2025-03-23 02:06:30.673,3,38.54,13.54,11.46,6.25,30.21
