Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2025-03-24 07:46:46.870,86644.00,1011.32,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87221.00,1018.31,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87269.00,1018.71,0.20,11.95,8.00,0.09,0.00,11.00
2025-03-24 07:46:46.870,87773.00,1024.50,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87804.00,1025.58,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88318.00,1031.02,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87292.00,1018.36,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87044.00,1016.71,0.19,11.96,2.00,0.01,0.00,4.00
2025-03-24 07:46:46.870,86875.00,1014.17,0.19,11.95,3.00,0.01,0.00,4.00
2025-03-24 07:46:46.870,87191.00,1017.71,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87126.73,1017.65,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86316.00,1007.79,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87450.00,1021.14,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87505.00,1021.08,0.20,11.95,1.00,0.00,0.00,4.00
2025-03-24 07:46:46.870,87552.00,1021.86,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86899.00,1014.20,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87133.00,1017.48,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87128.00,1016.96,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87725.00,1023.50,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86442.00,1009.50,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86184.00,1006.00,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86091.00,1004.21,0.20,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87432.00,1021.16,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88741.00,1034.68,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,89018.00,1038.89,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,16584.00,193.49,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,3286.00,103.48,0.19,32.25,52.00,0.31,0.00,6.15
2025-03-24 07:46:46.870,49046.00,572.25,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,49408.00,576.76,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,50599.00,590.15,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,51212.00,597.09,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,53183.00,620.57,0.19,11.95,3.00,0.15,0.00,52.00
2025-03-24 07:46:46.870,68357.00,798.50,0.19,11.96,27.00,0.11,0.00,4.00
2025-03-24 07:46:46.870,84321.00,984.30,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85993.00,1003.54,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85824.00,1001.61,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86971.00,1014.96,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86811.00,1013.09,0.19,11.95,25.00,0.10,0.00,4.00
2025-03-24 07:46:46.870,86238.00,1007.47,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86279.00,1006.80,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86168.00,1006.54,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88202.00,1029.54,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87891.00,1027.50,0.20,11.97,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88971.00,1038.44,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87965.00,1027.39,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,83739.00,978.55,0.20,11.97,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86392.00,1008.26,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86360.00,1008.06,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86343.00,1008.13,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86556.00,1010.56,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86265.00,1006.41,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86498.00,1009.59,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85942.00,1004.24,0.20,11.97,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86105.00,1005.59,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86070.00,1004.19,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86826.00,1013.48,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87862.00,1024.85,0.20,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86370.00,1008.36,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85519.00,997.41,0.20,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85522.00,998.77,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85948.00,1003.02,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86008.00,1003.74,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86083.00,1004.55,0.20,11.95,7.00,0.09,0.00,12.57
2025-03-24 07:46:46.870,85573.00,998.72,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,84113.00,982.92,0.20,11.97,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85418.00,997.66,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85645.00,999.14,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87875.00,1026.06,0.20,11.96,5.00,0.02,0.00,4.00
2025-03-24 07:46:46.870,88252.00,1030.70,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88375.00,1030.50,0.20,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87681.00,1023.66,0.20,11.96,0.00,0.00,0.00,0.00
