timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses
1742802407476,7,READ,807,601.09,0.09,147.89,127.74,306.69,491.01,584.19,136594312,-1717986919,51,16026,17020880,322122547,6,1998
1742802407476,0,QUEUE,805,321912.83,192020.48,256492.44,257687.55,310116.35,322437.12,323485.700,0,0,0,0,0,0,0,0
1742802407476,1,QUEUE,812,323747.84,193724.42,259293.46,259653.63,311689.22,323747.84,325582.850,0,0,0,0,0,0,0,0
1742802407476,2,QUEUE,806,324272.13,195297.28,259892.46,260833.28,313262.08,325320.70,326631.420,0,0,0,0,0,0,0,0
1742802407476,3,QUEUE,808,327680.00,197918.72,263126.08,263716.86,315621.38,327942.14,329515.010,0,0,0,0,0,0,0,0
1742802407476,4,QUEUE,808,328990.72,199360.51,262976.83,264503.29,317718.53,329515.01,330301.440,0,0,0,0,0,0,0,0
1742802407476,5,QUEUE,815,331087.87,201195.52,265769.79,266076.16,320077.82,331087.87,332660.730,0,0,0,0,0,0,0,0
1742802407476,6,QUEUE,813,333185.02,203292.67,267905.27,268697.60,321388.54,333709.31,334757.890,0,0,0,0,0,0,0,0
1742802407476,7,QUEUE,814,335282.17,205389.82,269411.31,270532.61,323485.70,336068.61,336855.040,0,0,0,0,0,0,0,0
1742802407608,0,READ,814,630.27,0.26,138.50,111.61,306.69,504.83,709.12,187571304,-1717986919,67,21991,23457136,322122547,8,2751
1742802407608,1,READ,806,581.63,0.02,145.33,120.19,329.98,473.34,553.47,188518800,-1717986919,67,22105,23687640,322122547,4,2779
1742802407608,2,READ,808,750.08,0.23,145.63,112.96,312.06,546.82,732.16,189474832,-1717986919,67,22217,23678976,322122547,8,2777
1742802407608,3,READ,808,689.15,0.17,144.04,119.42,315.39,483.84,659.46,190447936,-1717986919,67,22329,23755848,322122547,8,2786
1742802407608,4,READ,815,691.71,0.30,143.68,116.73,311.04,466.94,543.74,191472256,-1717986919,67,22453,23943592,322122547,8,2809
1742802407608,5,READ,815,737.79,0.16,146.93,128.77,314.62,475.90,595.97,192411216,-1717986919,67,22558,24063096,322122547,8,2820
1742802407608,6,READ,817,576.00,0.19,144.39,120.58,301.06,493.06,576.00,193316032,-1717986919,67,22670,24139904,322122547,8,2832
1742802407608,7,READ,817,676.86,0.16,133.97,106.50,319.49,496.64,568.32,194212312,-1717986919,67,22776,24225264,322122547,8,2840
1742802407608,0,QUEUE,813,453509.12,323747.84,387868.01,389283.84,442499.07,454819.84,456130.560,0,0,0,0,0,0,0,0
1742802407608,1,QUEUE,814,455868.41,325582.85,388988.21,390594.56,443809.79,456130.56,457179.140,0,0,0,0,0,0,0,0
1742802407608,2,QUEUE,810,455606.27,326893.57,388575.28,391643.14,444071.93,456130.56,457441.280,0,0,0,0,0,0,0,0
1742802407608,3,QUEUE,811,458752.00,329515.01,392671.49,395051.01,446955.52,459276.29,460324.860,0,0,0,0,0,0,0,0
1742802407608,4,QUEUE,810,459276.29,330825.73,391532.02,395837.44,447741.95,459538.43,460849.150,0,0,0,0,0,0,0,0
1742802407608,5,QUEUE,811,461635.58,332660.74,396211.36,398196.73,449576.96,462422.02,462946.300,0,0,0,0,0,0,0,0
1742802407608,6,QUEUE,813,464519.17,335020.03,398058.13,399769.60,452198.40,465043.46,466092.030,0,0,0,0,0,0,0,0
1742802407608,7,QUEUE,811,466354.17,336855.04,401188.75,402128.90,455081.98,466616.32,467402.750,0,0,0,0,0,0,0,0
1742802407742,0,READ,816,711.17,0.04,142.16,115.45,309.76,517.89,550.91,244984440,-1717986919,91,28720,30670056,322122547,11,3593
1742802407742,1,READ,817,1103.87,0.01,143.46,113.53,312.57,613.89,1103.87,245914864,-1717986919,102,28831,30815200,322122547,12,3613
1742802407742,2,READ,819,728.06,0.03,140.34,106.11,319.23,557.05,651.77,246785536,-1717986919,103,28934,30857752,322122547,12,3620
1742802407742,3,READ,817,640.51,0.24,137.10,114.11,298.24,484.10,629.76,247724496,-1717986919,103,29042,30891944,322122547,12,3622
1742802407742,4,READ,817,730.11,0.14,145.51,115.78,332.80,498.18,643.07,248578096,-1717986919,103,29144,31096760,322122547,12,3648
1742802407742,5,READ,814,804.86,0.15,140.91,114.56,313.60,541.18,664.58,249440232,-1717986919,103,29244,31182120,322122547,12,3656
1742802407742,6,READ,816,1057.79,0.12,140.30,120.06,293.63,478.21,614.91,250302368,-1717986919,103,29351,31293072,322122547,12,3669
1742802407742,7,READ,817,908.80,0.02,142.46,103.68,340.48,540.16,706.56,251173040,-1717986919,103,29445,31352824,322122547,12,3675
1742802407742,0,QUEUE,814,587202.56,456654.85,519799.18,523763.71,574619.65,587726.85,588251.140,0,0,0,0,0,0,0,0
1742802407742,1,QUEUE,820,586153.98,457441.28,521558.81,523501.57,573571.07,586153.98,587202.560,0,0,0,0,0,0,0,0
1742802407742,2,QUEUE,817,586678.27,457441.28,521914.90,523501.57,574095.36,586678.27,587726.850,0,0,0,0,0,0,0,0
1742802407742,3,QUEUE,815,589824.00,461111.30,524671.37,527433.73,578289.66,590348.29,591396.860,0,0,0,0,0,0,0,0
1742802407742,4,QUEUE,815,589299.71,461373.44,525226.39,527171.58,577765.38,589299.71,590872.570,0,0,0,0,0,0,0,0
1742802407742,5,QUEUE,812,591921.15,463732.74,527997.29,529268.73,579338.24,592445.44,592969.730,0,0,0,0,0,0,0,0
1742802407742,6,QUEUE,809,594542.59,466092.03,529583.37,531890.18,583008.26,595591.17,596639.740,0,0,0,0,0,0,0,0
1742802407742,7,QUEUE,811,596639.74,467927.04,532644.96,533725.18,584056.83,596639.74,597688.320,0,0,0,0,0,0,0,0
1742802407875,0,READ,739,785.41,0.08,147.83,116.99,329.98,578.56,717.82,297779600,-1717986919,136,34911,37302528,322122547,16,4372
1742802407875,1,READ,741,1248.26,0.16,159.27,120.25,349.44,594.94,1162.24,298718560,-1717986919,136,35015,37345240,322122547,17,4378
1742802407875,2,READ,741,890.37,0.26,158.82,125.69,351.74,587.77,867.33,299606304,-1717986919,136,35123,37464616,322122547,17,4396
1742802407875,3,READ,741,1347.58,0.14,160.54,135.17,339.20,556.03,775.68,300545264,-1717986919,136,35235,37464664,322122547,15,4393
1742802407875,4,READ,742,1500.16,0.07,155.36,126.53,327.94,574.98,782.85,301458616,-1717986919,136,35346,37737768,322122547,16,4424
1742802407875,5,READ,740,1481.73,0.26,165.51,138.37,339.45,578.56,1409.02,302337824,-1717986919,136,35445,37806056,322122547,16,4436
1742802407875,6,READ,742,1236.99,0.04,152.25,119.55,326.14,633.34,713.22,303293856,-1717986919,136,35560,37934080,322122547,16,4448
1742802407875,7,READ,743,1995.78,0.10,163.12,125.82,352.51,638.46,1992.70,304087704,-1717986919,136,35649,38010904,322122547,16,4456
1742802407875,0,QUEUE,742,719847.42,588251.14,651318.44,651689.98,708837.38,720371.71,721420.290,0,0,0,0,0,0,0,0
1742802407875,1,QUEUE,740,717225.98,587726.85,649735.41,650117.12,706215.94,717750.27,718274.560,0,0,0,0,0,0,0,0
1742802407875,2,QUEUE,743,718274.56,588251.14,652405.37,652738.56,707264.51,718274.56,719323.140,0,0,0,0,0,0,0,0
1742802407875,3,QUEUE,742,720896.00,591396.86,652736.13,658505.73,710410.24,721420.29,722468.860,0,0,0,0,0,0,0,0
1742802407875,4,QUEUE,746,720896.00,591396.86,654197.28,657981.44,709885.95,720371.71,722468.860,0,0,0,0,0,0,0,0
1742802407875,5,QUEUE,742,722993.15,594018.30,655657.95,660078.59,712507.39,723517.44,724566.020,0,0,0,0,0,0,0,0
1742802407875,6,QUEUE,746,726138.88,596639.74,659631.94,662175.74,715128.83,726138.88,727187.450,0,0,0,0,0,0,0,0
1742802407875,7,QUEUE,743,727187.45,598212.61,658366.68,664272.90,716701.69,728236.03,728760.320,0,0,0,0,0,0,0,0
1742802408009,0,READ,812,697.34,0.25,154.18,128.13,332.54,520.19,653.31,354475712,-1717986919,185,41551,44387408,322122547,22,5202
1742802408009,1,READ,813,570.37,0.32,148.84,126.97,322.81,491.26,567.81,355389064,-1717986919,185,41665,44370368,322122547,24,5201
1742802408009,2,READ,813,666.11,0.07,140.72,113.60,309.50,540.67,659.97,356310952,-1717986919,185,41773,44566568,322122547,23,5227
1742802408009,3,READ,813,769.53,0.02,141.63,114.62,301.57,535.04,723.97,357258448,-1717986919,185,41879,44532472,322122547,21,5224
1742802408009,4,READ,813,645.63,0.02,147.87,113.47,338.43,475.39,618.50,357975472,-1717986919,186,41966,44831184,322122547,22,5253
1742802408009,5,READ,811,586.24,0.06,146.97,118.02,321.28,465.92,576.00,358769320,-1717986919,187,42060,44890936,322122547,22,5266
1742802408009,6,READ,807,796.16,0.34,150.20,117.25,324.10,544.77,703.49,359588776,-1717986919,187,42157,44984816,322122547,22,5273
1742802408009,7,READ,809,646.65,0.04,150.43,125.69,325.89,529.92,644.10,360519200,-1717986919,187,42265,45053104,322122547,22,5287
1742802408009,0,QUEUE,811,851968.00,721420.29,784916.82,786956.29,839385.09,851968.00,853540.860,0,0,0,0,0,0,0,0
1742802408009,1,QUEUE,806,847249.41,718798.85,779423.42,783810.56,834666.49,848297.98,848822.270,0,0,0,0,0,0,0,0
1742802408009,2,QUEUE,807,848822.27,719847.42,780532.63,784859.14,836239.36,848822.27,850395.140,0,0,0,0,0,0,0,0
1742802408009,3,QUEUE,807,851443.71,722468.86,787096.85,787480.57,839385.09,851968.00,852492.290,0,0,0,0,0,0,0,0
1742802408009,4,QUEUE,810,851968.00,722468.86,782803.27,786956.29,839385.09,852492.29,853540.860,0,0,0,0,0,0,0,0
1742802408009,5,QUEUE,805,854065.15,724566.02,788408.51,789577.73,842006.53,854589.44,855113.730,0,0,0,0,0,0,0,0
1742802408009,6,QUEUE,812,855638.02,727187.46,784408.52,791674.88,844103.68,857210.88,857735.170,0,0,0,0,0,0,0,0
1742802408009,7,QUEUE,806,857735.17,729808.90,792065.84,792199.17,845152.26,857735.17,858783.740,0,0,0,0,0,0,0,0
1742802408142,0,READ,671,807.42,0.00,152.72,123.84,342.27,559.10,699.39,402038304,-1717986919,232,47131,50345536,322122547,28,5902
1742802408142,1,READ,674,2273.28,0.33,165.88,124.42,341.76,608.77,2254.85,402994336,-1717986919,232,47244,50294352,322122547,30,5894
1742802408142,2,READ,674,3155.97,0.04,160.32,122.43,333.06,658.43,2191.36,403856472,-1717986919,232,47348,50524696,322122547,29,5928
1742802408142,3,READ,673,657.41,0.45,156.05,127.61,346.37,563.71,648.70,404812504,-1717986919,233,47460,50430848,322122547,27,5916
1742802408142,4,READ,675,2977.79,0.80,171.61,122.50,352.00,598.53,2334.72,405700248,-1717986919,233,47563,50814920,322122547,28,5957
1742802408142,5,READ,675,2271.23,0.08,162.48,121.02,342.78,564.74,1581.06,406664816,-1717986919,233,47676,50806384,322122547,27,5957
1742802408142,6,READ,677,2230.27,0.14,162.61,132.48,331.52,503.04,657.92,407552560,-1717986919,238,47782,51002696,322122547,29,5980
1742802408142,7,READ,679,886.78,0.02,157.49,128.77,335.62,578.56,719.36,408406160,-1717986919,240,47879,51062448,322122547,30,5987
1742802408142,0,QUEUE,679,984612.86,853540.86,924761.49,929038.33,974127.10,984612.86,985661.440,0,0,0,0,0,0,0,0
1742802408142,1,QUEUE,675,977272.83,848822.27,915424.86,923795.45,968359.94,978321.41,979369.980,0,0,0,0,0,0,0,0
1742802408142,2,QUEUE,678,979369.98,850395.14,921129.69,924844.03,969408.51,979369.98,980418.560,0,0,0,0,0,0,0,0
1742802408142,3,QUEUE,679,982515.71,853540.86,924478.86,927465.47,972554.24,983040.00,983564.290,0,0,0,0,0,0,0,0
1742802408142,4,QUEUE,675,981467.14,853016.58,921584.86,926941.18,972029.95,983040.00,984088.570,0,0,0,0,0,0,0,0
1742802408142,5,QUEUE,673,985137.15,855638.02,924562.67,930086.91,974651.39,985661.44,986185.730,0,0,0,0,0,0,0,0
1742802408142,6,QUEUE,673,987234.30,857735.17,922914.08,932184.06,977272.83,988282.88,988807.170,0,0,0,0,0,0,0,0
1742802408142,7,QUEUE,676,988282.88,858783.74,924227.65,933756.93,978321.41,989331.45,989855.740,0,0,0,0,0,0,0,0
1742802408276,0,READ,805,1166.34,0.16,151.57,116.86,336.13,500.48,1026.56,458435656,-1717986919,298,53743,57387736,322122547,37,6726
1742802408276,1,READ,806,680.96,0.06,140.11,120.25,307.20,509.69,609.28,459391688,-1717986919,298,53853,57456056,322122547,35,6734
1742802408276,2,READ,808,842.75,0.08,153.24,122.37,333.31,586.75,797.18,460287968,-1717986919,298,53961,57566896,322122547,38,6752
1742802408276,3,READ,806,786.94,0.07,140.26,112.51,317.95,502.01,644.61,461201320,-1717986919,299,54068,57473048,322122547,36,6739
1742802408276,4,READ,810,568.32,0.59,144.30,120.77,316.42,463.10,531.46,462140280,-1717986919,301,54169,57848584,322122547,37,6782
1742802408276,5,READ,805,1101.82,0.02,148.84,127.17,313.09,497.92,923.13,463079240,-1717986919,301,54282,57840048,322122547,35,6782
1742802408276,6,READ,805,1143.81,0.54,141.60,112.25,311.30,493.06,710.65,463890160,-1717986919,301,54379,58027824,322122547,37,6805
1742802408276,7,READ,806,675.84,0.02,140.11,112.25,315.39,502.78,588.29,464735224,-1717986919,302,54476,58121720,322122547,37,6813
1742802408276,0,QUEUE,806,1116733.44,986185.73,1046853.43,1052246.01,1105199.10,1117782.01,1118830.590,0,0,0,0,0,0,0,0
1742802408276,1,QUEUE,807,1108344.83,979369.98,1042303.50,1044905.98,1096810.50,1109393.41,1110441.980,0,0,0,0,0,0,0,0
