,timestamp,e2e,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733832921794,False,0,READ,251,8.6,0.02,0.74,0.26,2.22,5.89,8.6,1097656,335544320,32,243,0,0,0,0,0.0,257024
1,1733832921794,True,0,READ,253,8830.98,32.9,859.17,273.41,2498.56,7827.45,8830.98,1097656,335544320,32,243,0,0,0,0,0.0,259072
2,1733832921794,False,1,READ,258,7.47,0.02,0.8,0.26,1.9,7.04,7.47,1088392,335544320,23,241,0,0,0,0,0.0,264192
3,1733832921794,True,1,READ,259,16334.85,39.81,1002.22,281.34,2304.0,9297.92,16334.85,1088392,335544320,23,241,0,0,0,0,0.0,265216
4,1733832921794,False,2,READ,259,7.74,0.02,0.81,0.26,2.15,5.53,7.74,1143080,335544320,20,252,0,0,0,0,0.0,265216
5,1733832921794,True,2,READ,260,9068.54,36.42,951.97,282.88,2840.57,7602.18,9068.54,1143080,335544320,20,252,0,0,0,0,0.0,266240
6,1733832921794,False,3,READ,263,7.94,0.02,0.74,0.27,1.91,6.24,7.94,1115816,335544320,27,246,0,0,0,0,0.0,269312
7,1733832921794,True,3,READ,265,8986.62,32.1,871.55,287.49,2265.09,7831.55,8986.62,1115816,335544320,27,246,0,0,0,0,0.0,271360
8,1733832921794,False,4,READ,268,6.75,0.02,0.75,0.26,2.49,5.55,6.75,1106360,335544320,29,244,0,0,0,0,0.0,274432
9,1733832921794,True,4,READ,269,10059.77,31.78,903.25,268.03,2824.19,7409.66,10059.77,1106360,335544320,29,244,0,0,0,0,0.0,275456
10,1733832921794,False,5,READ,271,6.78,0.02,0.81,0.25,2.31,6.09,6.78,1120112,335544320,33,247,0,0,0,0,0.0,277504
11,1733832921794,True,5,READ,272,10108.93,31.3,987.81,271.1,3131.39,9240.58,10108.93,1120112,335544320,33,247,0,0,0,0,0.0,278528
12,1733832921794,False,6,READ,273,16.32,0.02,1.17,0.27,3.6,11.97,16.32,1184400,335544320,26,262,0,0,0,0,0.0,279552
13,1733832921794,True,6,READ,273,16359.42,40.9,1314.03,286.72,3926.01,12279.81,16359.42,1184400,335544320,26,262,0,0,0,0,0.0,279552
14,1733832921794,False,7,READ,276,18.16,0.02,1.77,0.27,5.49,16.37,18.16,1111216,335544320,41,248,0,0,0,0,0.0,282624
15,1733832921794,True,7,READ,277,18694.14,36.1,1959.1,284.67,6316.03,17448.96,18694.14,1111216,335544320,41,248,0,0,0,0,0.0,283648
16,1733832921794,False,8,READ,278,11.69,0.02,1.21,0.26,4.52,8.91,11.69,1175072,335544320,24,262,0,0,0,0,0.0,284672
17,1733832921794,True,8,READ,278,13541.38,36.77,1414.03,273.92,5152.77,10764.29,13541.38,1175072,335544320,24,262,0,0,0,0,0.0,284672
18,1733832921794,False,9,READ,281,7.09,0.02,0.76,0.25,2.17,6.08,7.09,1156848,335544320,33,256,0,0,0,0,0.0,287744
19,1733832921794,True,9,READ,281,10444.8,33.28,930.6,264.7,2842.62,8945.66,10444.8,1156848,335544320,33,256,0,0,0,0,0.0,287744
20,1733832921794,False,10,READ,284,8.16,0.02,0.87,0.26,2.57,7.38,8.16,1229888,335544320,27,273,0,0,0,0,0.0,290816
21,1733832921794,True,10,READ,284,15605.76,33.31,1070.35,280.06,2891.78,9191.42,15605.76,1229888,335544320,27,273,0,0,0,0,0.0,290816
22,1733832921794,False,11,READ,288,6.82,0.02,0.74,0.25,2.12,6.31,6.82,1170728,335544320,41,258,0,0,0,0,0.0,294912
23,1733832921794,True,11,READ,289,10027.01,32.51,891.72,260.99,2390.01,8429.57,10027.01,1170728,335544320,41,258,0,0,0,0,0.0,295936
24,1733832921794,False,12,READ,495,8.34,0.02,0.81,0.26,2.52,6.93,8.34,2018944,335544320,71,446,0,0,0,0,0.0,506880
25,1733832921794,True,12,READ,497,11067.39,32.74,999.06,264.45,2938.88,9240.58,11067.39,2018944,335544320,71,446,0,0,0,0,0.0,508928
26,1733832921794,False,13,READ,497,8.08,0.02,0.82,0.25,2.58,7.45,8.08,2019024,335544320,73,443,0,0,0,0,0.0,508928
27,1733832921794,True,13,READ,499,12034.05,30.85,1041.92,269.57,3147.78,10035.2,12034.05,2019024,335544320,73,443,0,0,0,0,0.0,510976
28,1733832921794,False,14,READ,1783,9.76,0.02,0.8,0.24,2.31,7.6,8.42,6930872,335544320,290,1522,0,0,0,0,0.0,1825792
29,1733832921794,True,14,READ,1789,13729.79,30.18,1162.83,256.77,3743.74,11657.22,12648.45,6930872,335544320,290,1522,0,0,0,0,0.0,1831936
30,1733832921794,False,15,READ,1863,8.31,0.02,0.61,0.24,1.33,6.63,7.77,7123448,335544320,336,1560,0,0,0,0,0.0,1907712
31,1733832921794,True,15,READ,1867,14262.27,27.02,963.31,251.39,3414.01,10289.15,13713.41,7123448,335544320,336,1560,0,0,0,0,0.0,1911808
