,timestamp,e2e,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733835715285,False,0,READ,80,6.44,0.18,1.77,1.12,4.45,6.38,6.44,379328,335544320,0,89,0,0,0,0,0.0,327680
1,1733835715285,True,0,READ,81,15884.29,551.42,8152.83,8286.21,11018.24,14942.21,15884.29,379328,335544320,0,89,0,0,0,0,0.0,331776
2,1733835715285,False,1,READ,92,6.45,0.18,1.59,1.09,3.87,6.44,6.45,434176,335544320,0,97,0,0,0,0,0.0,376832
3,1733835715285,True,1,READ,93,16506.88,595.97,8070.4,8384.51,11608.06,15679.49,16506.88,434176,335544320,0,97,0,0,0,0,0.0,380928
4,1733835715285,False,2,READ,101,6.38,0.18,1.67,1.29,3.63,6.25,6.38,479824,335544320,0,107,0,0,0,0,0.0,413696
5,1733835715285,True,2,READ,101,14475.26,555.01,5960.93,6107.14,8937.47,13893.63,14475.26,479824,335544320,0,107,0,0,0,0,0.0,413696
6,1733835715285,False,3,READ,108,6.99,0.18,1.6,1.11,3.23,6.7,6.99,530136,335544320,0,118,0,0,0,0,0.0,442368
7,1733835715285,True,3,READ,108,16744.45,527.87,7063.97,7479.3,10010.62,15589.38,16744.45,530136,335544320,0,118,0,0,0,0,0.0,442368
8,1733835715285,False,4,READ,110,6.25,0.18,1.74,1.53,3.98,5.69,6.25,571360,335544320,0,127,0,0,0,0,0.0,450560
9,1733835715285,True,4,READ,111,14794.75,539.65,6712.9,7385.09,9854.98,13893.63,14794.75,571360,335544320,0,127,0,0,0,0,0.0,454656
10,1733835715285,False,5,READ,119,6.74,0.17,1.46,1.05,3.62,6.48,6.74,584952,335544320,0,132,0,0,0,0,0.0,487424
11,1733835715285,True,5,READ,120,14753.79,515.33,6787.82,7192.57,11575.3,14065.66,14753.79,584952,335544320,0,132,0,0,0,0,0.0,491520
